,A,A & H,B,C,D,E,F,G,H
16.0,9475,11378,9350,10360,10342,9902,9917,9320,9001
36.0,10322,12206,10245,10428,10437,10571,11087,9577,9315
55.0,10551,13428,10815,11442,10708,11701,11365,10396,10893
