,1,10,11,1213,13,14,15,16,17,17 & 18,1718,18,2,3,4,5,6,7,8,9
2.0,1890305,2431260,2016740,2983680,1660685,2113550,1850805,1785135,1785135,2807310,2827770,1743720,1655175,1979290,2124990,2368000,1990380,2347590,2324805,2124990
3.0,1958980,2444260,1980660,2998480,1698095,2113550,1860870,1794540,1794540,2821830,2842290,1794540,1680985,2021860,2017680,2380500,2001510,2360085,2337300,2044770
4.0,1970255,2457780,2038740,3013650,1678810,2136510,1870935,1804275,1804275,2836680,2857140,1804275,1752470,2031535,2148090,2423250,2012430,2373070,2281440,2148090
