,A,B,C,C & D,CD,D,E,EF,F,G
5.0,11380616,7055516,7411700,19751368,19751368,8725420,6880166,19159746,7062718,7113734
10.0,9623152,6749614,7385434,20370584,20370584,9026864,6915721,14835078,7453377,7191884
17.0,9769628,7257070,7700594,21499504,21499504,10239686,7190315,15585012,7465410,7486770
