,A,B,C,C & D,CD,D,E,F,G,H
15.0,781,904,904,1685,1685,781,496,418,418,493
32.0,781,904,904,1685,1685,781,496,418,418,493
51.0,781,904,904,1685,1685,781,496,420,420,493
