,A,AB,B,C,D,E,EF,F,G,GH,H
4.0,9137,10791,8883,8169,9186,8928,10791,8981,9340,10097,8535
9.0,9434,11146,9342,8364,9480,9400,11146,9232,9595,10583,9126
14.0,9518,11434,9364,8860,9735,9509,11434,9479,9848,10883,9496
