,A,B,C,D,E,F,G,H,I
15.0,8101890,9953150,10589650,8556012,6856070,6202588,5317810,5065092,7583852
32.0,8861356,10592738,11574004,8953186,6863246,6583012,5282550,5510150,8327270
51.0,9507222,11344716,12026677,9850905,6993012,6856016,5245140,5470392,8692272
