,A,B,C,D,E,F,G,GH,H
16.0,8362240,7833600,6135825,7325388,5822320,6096725,7698310,19039856,8617114
36.0,9216700,8243712,6303725,7320960,6042960,6373875,7983058,21289676,9460000
55.0,10116280,8011008,6875850,7484058,6158320,6764300,8204010,23003332,10250856
