,1,10,11,12,2,3,5,6,7,8,9
20.0,6409812,5404540,5585706,6218472,6572160,6831498,6177561,5515320,5858649,5957503,5307516
66.0,,,,,,,,,,,
102.0,,,,,,,,,,,
