,A,B,C,D,E,F,G,GH,H
5.0,5467580,5936742,8069886,6479136,6632064,7785594,5798820,13216060,5386084
12.0,5673324,6451854,8344638,7782912,7812288,8776800,6082284,14729000,5626564
20.0,5779536,6716268,8591724,8252928,8278848,9171756,6785610,15582710,5820284
