,A01,A02,A03,A05,A06,A07,A08,A09,A10,A11,A12,A13,A15,A16,B01,B02,B03,B05,B06,B07,B08,C01,C02,C03,C05,C06,C07,D01,D02,D03,D05,D06,D07,D08
2.0,,357,495,357,357,510,357,357,305,357,357,495,357,808,344,344,332,344,344,510,527,483,332,344,344,459,459,301,305,334,309,344,279,339
3.0,,357,495,357,357,510,357,357,305,357,357,495,357,808,344,344,332,344,344,510,527,483,332,344,344,459,459,301,305,334,309,344,279,339
