,A,B,C,D,E,EF,F
4.0,6147900,3559875,6280470,6155730,3714375,11441689,6376268
11.0,6575010,3742875,6324570,6358590,3844875,12397819,6584056
18.0,6673680,3874500,6560190,6505380,3972750,13105575,6630392
