,A,AB,B,C,D,E,F,G,H
4.0,6779200,16445952,6908728,6776808,6804280,6733600,6906400,5366974,5549760
9.0,7300560,17220096,7241632,6793104,7052800,7052800,7160152,5625468,5802525
14.0,7416840,17983488,7336304,7152392,7372760,7366680,7401488,5874752,5872020
