,1A,1B,1C,1D,2A,2B,2C,2D,3A,3B,3C,3D,5B,5C,5D,6A,6B,6C,6D,8A,8D,A,B,C
2.0,,,,,16125962,,,,,,,,,,,,,,,,,16939520,12986610,18935942
5.0,,,,,16377681,,,,,,,,,,,,,,,,,17205760,22880066,14700140
7.0,,,,,16546253,,,,,,,,,,,,,,,,,17382560,23116159,14853020
