,A,B,C,D,E,F,G,GH,H
5.0,8185,7791,8459,7499,7676,8161,7610,9242,8063
12.0,8493,8467,8747,9008,9042,9200,7982,10300,8423
20.0,8652,8814,9006,9552,9582,9614,8905,10897,8713
