,A,B,C,D,E,F,G,H,I
17.0,10565,11615,11492,11635,11513,13152,12262,12147,11159
33.0,11083,11961,11812,12674,12260,13358,12943,12775,11730
60.0,12273,13083,15212,15487,15404,14155,14110,13682,13203
