,1,2,3,5,6,7,8,9
7.0,12700,12394,13263,13195,12083,13743,14071,12369
18.0,13353,13640,13979,13859,13129,14099,14269,13554
27.0,13894,13919,14297,14126,13726,14515,14774,13790
