,A,B,C,C & D,CD,D,E,F,G,H
15.0,8368415,10000048,10287860,,,8288280,5923728,5185708,5343294,5907126
32.0,9114270,10887776,10864272,,,8722296,6247120,5532648,5208280,6441538
51.0,9684400,13189360,13189360,,,9554688,6769408,6048420,5710740,6734873
