,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
2.0,5426652,6989556,6399792,6399792,6229808,4676992,5118690,6044070,5410152,4482792,5788203,5857488
3.0,7141260,7025424,6428520,6428520,6257136,6257136,6224975,6073655,5433336,4570560,5813682,5883861
4.0,7205352,7061880,6461784,6461784,6290320,6290320,6257955,6105665,5462730,4593744,5844525,5914704
