,A,AB,B,C,D,E,F,G,GH,H
5.0,8663,9621,8993,8342,8773,9215,8529,8486,9621,8527
12.0,8959,9990,9070,8676,9069,9043,8856,8790,9990,8846
20.0,9301,10582,9427,9235,9459,9821,9236,9119,10582,9210
