,A,B,C,C & D,CD,D,E,F,G,H
15.0,7813124,9213568,9094240,21549465,21549465,8036490,6027392,5069922,5161464,6074746
32.0,8268447,9973832,10005472,23128310,23128310,8698778,6387488,5379660,5405994,6619511
51.0,9055695,10763024,11315368,24816680,24816680,9068191,6962848,5853960,5927460,6204898
