,A,B,C,D,E,F,G,GH,H
16.0,8896,10200,10671,9926,10397,10603,9895,11044,9109
36.0,9805,10734,10963,9920,10791,11085,10261,12349,10000
55.0,10762,10431,11958,10141,10997,11764,10545,13343,10836
