,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,30397681.5,33821.5,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",37077480.0,31210.0,1188.0,23717883.0,36433.0,651.0,,0.15739435505619825,0.15739853535007864
2020-11-15,26263893.0,29222.0,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",32035608.000000004,26966.0,1188.0,20492178.0,31478.0,651.0,,-0.07489888842118209,-0.07490186146637967
2020-10-15,28390294.5,31588.0,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",34629012.0,29149.0,1188.0,22151577.0,34027.0,651.0,,-0.05802263250512851,-0.05801661025541627
2020-9-15,30139041.0,33533.5,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",36762660.0,30945.0,1188.0,23515422.0,36122.0,651.0,,0.09884181522922897,0.09886454868677608
2020-8-15,27428007.0,30516.5,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",33457644.0,28163.0,1188.0,21398370.0,32870.0,651.0,,0.01989872930274128,0.019919453217693617
2020-7-15,26892873.0,29920.5,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",32806620.0,27615.0,1188.0,20979126.0,32226.0,651.0,,0.07788377305511518,0.07790546869370996
2020-6-15,24949696.5,27758.0,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",30437748.0,25621.0,1188.0,19461645.0,29895.0,651.0,,-0.13682065835056767,-0.13681100831843274
2020-5-15,28904418.0,32157.5,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",35263404.0,29683.0,1188.0,22545432.0,34632.0,651.0,,0.21686560430750057,0.21686564622632587
2020-4-15,23753172.0,26426.5,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",28978884.0,24393.0,1188.0,18527460.0,28460.0,651.0,,-0.14497941907328216,-0.14498099166868883
2020-3-15,27780819.0,30907.5,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",33892452.0,28529.0,1188.0,21669186.0,33286.0,651.0,,0.2349162955470312,0.23491689307975072
2020-2-15,22496115.0,25028.0,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",27445176.000000004,23102.0,1188.0,17547054.0,26954.0,651.0,,-0.1091330581544322,-0.10913362283761663
2020-1-15,25251936.0,28094.0,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",30807216.0,25932.0,1188.0,19696656.0,30256.0,651.0,,0.19419464438380452,0.19419353467513978
2019-12-15,21145578.0,23525.5,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",25797420.0,21715.0,1188.0,16493736.0,25336.0,651.0,,-0.1541075168163789,-0.15410891178109776
2019-11-15,24997950.0,27811.5,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",30497148.0,25671.0,1188.0,19498752.0,29952.0,651.0,,-0.2527844878251573,-0.2527807630306287
2019-10-15,33454806.0,37220.0,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",40814928.0,34356.0,1188.0,26094684.0,40084.0,651.0,,0.280073179822379,0.28007153543239394
2019-9-15,26135073.0,29076.5,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",31884732.0,26839.0,1188.0,20385414.0,31314.0,651.0,,-0.046201995897493964,-0.04620305068066266
2019-8-15,27401056.5,30485.0,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",33429132.0,28139.0,1188.0,21372981.0,32831.0,651.0,,-0.12526700673952595,-0.1252636260598844
2019-7-15,31325052.0,34850.5,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",38216772.0,32169.0,1188.0,24433332.0,37532.0,651.0,,0.11965960117058483,0.11965880614277458
2019-6-15,27977299.5,31126.0,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",34132428.0,28731.0,1188.0,21822171.0,33521.0,651.0,,-0.04977602794702518,-0.04977638026040632
