,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_H19-A,npsf_H19-A,nfa_H19-A,lumpSum_H19-B,npsf_H19-B,nfa_H19-B,lumpSum_H20-A,npsf_H20-A,nfa_H20-A,lumpSum_H20-B,npsf_H20-B,nfa_H20-B,lumpSum_change,npsf_change
2019-12-15,7226016.5,19698.25,4,28904066.0,78793.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8607780.0,17748.0,485.0,5868234.0,21654.0,271.0,8541162.0,17906.0,477.0,5886890.0,21485.0,274.0,-0.020363871763673158,-0.02036528204299337
2019-11-15,7376225.0,20107.75,4,29504900.0,80431.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8786745.0,18117.0,485.0,5990455.0,22105.0,271.0,8718606.0,18278.0,477.0,6009094.0,21931.0,274.0,0.003107723595271228,0.003105435135067669
2019-10-15,7353372.75,20045.5,4,29413491.0,80182.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8759585.0,18061.0,485.0,5972026.999999999,22037.0,271.0,8691417.0,18221.0,477.0,5990462.0,21863.0,274.0,0.007692015432268162,0.007691340957647341
2019-9-15,7297242.25,19892.5,4,29188969.0,79570.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8692655.0,17923.0,485.0,5926770.000000001,21870.0,271.0,8625114.0,18082.0,477.0,5944430.0,21695.0,274.0,0.006707064901720461,0.006705465587044435
2019-8-15,7248625.25,19760.0,4,28994501.0,79040.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8634455.0,17803.0,485.0,5887746.0,21726.0,271.0,8567874.0,17962.0,477.0,5904426.0,21549.0,274.0,-0.03689318950026432,-0.03688449681357919
2019-7-15,7526294.25,20516.75,4,30105177.0,82067.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8965710.0,18486.0,485.0,6113489.0,22559.0,271.0,8896050.0,18650.0,477.0,6129928.0,22372.0,274.0,0.10185380826509571,0.10185147890065926
2019-6-15,6830574.25,18620.25,4,27322297.0,74481.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8136845.0,16777.0,485.0,5548454.0,20474.0,271.0,8073702.000000001,16926.0,477.0,5563296.0,20304.0,274.0,-0.05364010180895762,-0.053295879197701956
2019-5-15,7217734.25,19668.5,4,28870937.0,78674.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8628150.0,17790.0,485.0,5854142.000000001,21602.0,271.0,8518743.0,17859.0,477.0,5869902.0,21423.0,274.0,-0.0350443988835889,-0.03491167811579976
2019-4-15,7479861.5,20380.0,4,29919446.0,81520.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8936610.0,18426.0,485.0,6063082.999999999,22373.0,271.0,8840241.0,18533.0,477.0,6079512.0,22188.0,274.0,0.00833074561844871,0.008324365777332421
2019-3-15,7418063.5,20211.75,4,29672254.0,80847.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8862405.0,18273.0,485.0,6013219.000000001,22189.0,271.0,8767260.0,18380.0,477.0,6029370.0,22005.0,274.0,0.05707263425468123,0.05707225229465762
2019-2-15,7017553.25,19120.5,4,28070213.0,76482.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8384195.0,17287.0,485.0,5688561.0,20991.0,271.0,8293599.0,17387.0,477.0,5703858.0,20817.0,274.0,-0.013312933284853501,-0.014026040995230082
