,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,18320505.0,16766.0,3,54961515.0,50298.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",19018065.0,16049.0,1185.0,16778556.0,18198.0,922.0,19164894.0,16051.0,1194.0,-0.020729826236362103,-0.02231466003187821
2019-11-15,18708325.333333332,17148.666666666668,3,56124976.0,51446.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",19087980.0,16108.0,1185.0,17479276.0,18958.0,922.0,19557720.0,16380.0,1194.0,0.003237961961561675,0.003237129485179624
2019-10-15,18647944.0,17093.333333333332,3,55943832.0,51280.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",19026360.0,16056.0,1185.0,17423034.0,18897.0,922.0,19494438.0,16327.0,1194.0,0.00773886472140517,0.007742797626066
2019-9-15,18504738.333333332,16962.0,3,55514215.0,50886.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",18880605.0,15933.0,1185.0,17288422.0,18751.0,922.0,19345188.0,16202.0,1194.0,0.006667783691116647,0.0066667985518999995
2019-8-15,18382170.0,16849.666666666668,3,55146510.0,50549.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",18756180.0,15828.0,1185.0,17174094.0,18627.0,922.0,19216236.0,16094.0,1194.0,-0.03694397938905236,-0.03694177716811453
2019-7-15,19087332.0,17496.0,3,57261996.0,52488.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",19476660.0,16436.0,1185.0,17832402.0,19341.0,922.0,19952934.0,16711.0,1194.0,0.10183559681203858,0.10183260910636682
2019-6-15,17323212.333333332,15879.0,3,51969637.0,47637.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",17676645.0,14917.0,1185.0,16184788.0,17554.0,922.0,18108204.0,15166.0,1194.0,-0.05226870348559487,-0.052264045837975504
2019-5-15,18278611.666666668,16754.666666666668,3,54835835.0,50264.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",18653085.0,15741.0,1185.0,17076362.0,18521.0,922.0,19106388.0,16002.0,1194.0,-0.034517851349599615,-0.03451720097577837
2019-4-15,18932107.333333332,17353.666666666668,3,56796322.0,52061.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",19320240.0,16304.0,1185.0,17686726.0,19183.0,922.0,19789356.0,16574.0,1194.0,0.008309219039147386,0.008308800743724865
2019-3-15,18776092.666666668,17210.666666666668,3,56328278.0,51632.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",19161450.0,16170.0,1185.0,17541050.0,19025.0,922.0,19625778.0,16437.0,1194.0,0.05705783418461041,0.057058040741120086
2019-2-15,17762597.333333332,16281.666666666666,3,53287792.0,48845.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",18128130.0,15298.0,1185.0,16594156.000000002,17998.0,922.0,18565506.0,15549.0,1194.0,-0.016429718970385143,-0.0164314049253943
2019-1-15,18059306.666666668,16553.666666666668,3,54177920.0,49661.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",18431490.0,15554.0,1185.0,16871678.0,18299.0,922.0,18874752.0,15808.0,1194.0,0.05665802122871977,0.05666198561640923
2018-12-15,17090966.333333332,15666.0,3,51272899.0,46998.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",17444385.0,14721.0,1185.0,15966273.999999998,17317.0,922.0,17862240.0,14960.0,1194.0,-0.05802272162505806,-0.058024171727496854
2018-11-15,18143714.0,16631.0,3,54431142.0,49893.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",18519180.0,15628.0,1185.0,16950048.0,18384.0,922.0,18961914.0,15881.0,1194.0,-0.01845611814590231,-0.018453306053392682
2018-10-15,18484873.0,16943.666666666668,3,55454619.0,50831.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",18868755.0,15923.0,1185.0,17268138.0,18729.0,922.0,19317726.0,16179.0,1194.0,0.024406573478617855,0.02440548166062073
2018-9-15,18044469.333333332,16540.0,3,54133408.0,49620.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",18419640.0,15544.0,1185.0,16856926.0,18283.0,922.0,18856842.0,15793.0,1194.0,-0.03452048803851904,-0.034517647974471655
2018-8-15,18689645.0,17131.333333333332,3,56068935.0,51394.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",19079685.0,16101.0,1185.0,17458992.0,18936.0,922.0,19530258.0,16357.0,1194.0,-0.006092025324412553,-0.006091782861784245
2018-7-15,18804200.666666668,17236.333333333332,3,56412602.0,51709.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",19197000.0,16200.0,1185.0,17565944.0,19052.0,922.0,19649658.0,16457.0,1194.0,-0.021994131160574137,-0.021996519897110045
2018-6-15,19227083.666666668,17624.0,3,57681251.0,52872.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",19629525.0,16565.0,1185.0,17961482.0,19481.0,922.0,20090244.0,16826.0,1194.0,0.018076196832220948,0.01808098896655297
2018-5-15,18885702.0,17311.0,3,56657106.0,51933.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",19282320.0,16272.0,1185.0,17641548.0,19134.0,922.0,19733238.0,16527.0,1194.0,0.0018749067878069958,0.0018712863646885847
2018-4-15,18850359.333333332,17278.666666666668,3,56551078.0,51836.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",19246770.0,16242.0,1185.0,17609278.0,19099.0,922.0,19695030.0,16495.0,1194.0,,
2018-3-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2018-2-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2018-1-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2017-12-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2017-11-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2017-10-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2017-9-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2017-8-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2017-7-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2017-6-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2017-5-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2017-4-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2017-3-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2017-2-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2017-1-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2016-12-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2016-11-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2016-10-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2016-9-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2016-8-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2016-7-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2016-6-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2016-5-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2016-4-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2016-3-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2016-2-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
2016-1-15,,,3,,,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",,,1185.0,,,922.0,,,1194.0,,
