,A,C,D,F,G,H,I,J
2.0,9706,10530,9900,9981,9764,10292,9720,9818
3.0,9760,10583,9996,10036,9817,10349,9774,9872
4.0,9808,10533,10003,10086,9866,10400,9822,9964
