,A,B,C,D,E,F,G,H,I,J,K
4.0,656,608,600,524,573,570,570,590,563,704,584
8.0,656,608,600,524,573,570,570,590,563,704,605
13.0,586,608,600,524,408,430,522,599,563,704,594
