,D1,D10,D11,D13,D14,D2,D3,D4,D5,D6,D7,D8,D9,whole floor
2.0,7269357,7393680,6308544,7414680,6989190,7434420,6945960,7648620,8054340,7594020,7728420,7214760,7830480,8605230
4.0,7278399,7469280,6315852,7423920,6978660,7478940,6802740,7580580,8155140,7591920,7778820,7231980,7428120,7867440
7.0,7352379,6423732,6494724,7540680,7084350,7579740,6927060,7696920,7655700,7707840,7898940,7350840,7117890,7987140
