,A,ALBANY HSE 2,ALBANY HSE 3,ALBANY HSE 6,ALBANY HSE 7,ALBANY HSE 8,ALBANY HSE 9,BELGAVIA HSE 6,BELGRAVIA HSE 2,BELGRAVIA HSE 3,BELGRAVIA HSE 6,BELGRAVIA HSE 7,BELGRAVIA HSE 8,OXFORD HE 6,OXFORD HE 8,OXFORD HSE 2,OXFORD HSE 3,OXFORD HSE 6,OXFORD HSE 9,R,REGENT HSE,REGENT HSE 2,REGENT HSE 3,REGENT HSE 6,REGENT HSE 7,REGENT HSE 8,REGENT HSE 9
3.0,19442115,18652376,18652376,18652376,18652376,18652376,19442115,18305676,18317664,18305676,18232380,18414093,18305676,12709840,12709840,12709840,12709840,12709840,13422960,13234782,13932144,13842816,12819182,12807882,12807882,12760134,13705596
6.0,19719045,18918794,18918794,18918794,18918794,18918794,19719045,18566793,18578952,18566793,18464484,18676737,18566793,12891640,12891640,12891640,12891640,12891640,13610838,12998929,14130792,14036832,12998929,12986418,12986418,12939708,13898664
8.0,19912896,19104196,19104196,19104196,19104196,19104196,19912896,18750033,18760784,18750033,18673683,18858450,18750033,13012840,13012840,13012840,13012840,13012840,13746588,13128804,14272524,14176704,13128804,13117206,13117206,13052850,14037048
