,A,B,C,D,DE,E,F,G
16.0,16430472,10912974,13691535,9393190,16962054,9331860,9299868,12365390
32.0,17602263,11289307,14284385,9541590,18087375,9285450,9518230,13459385
59.0,18778000,12168359,15910336,9535680,19187712,9576171,9545391,14649000
