,A,B,C,D,E,F,G,H,J,K,L
8.0,20809,21921,21614,23651,21510,21330,21603,21101,21204,21164,22638
18.0,22857,22925,23687,24888,24798,22573,23038,21672,22232,22170,24108
26.0,25570,24111,24032,26796,26608,23562,23806,22941,24918,26045,25262
