,A,A & B,AB,B,C,D,D & E,DE,E
3.0,14892352,26695866,26633040,14786260,16090144,14276808,26465328,26465328,15324512
7.0,15567232,28214844,28148052,15468788,16651612,14280084,27972040,27972040,15989920
10.0,16198304,28931820,28865448,16173052,18600890,14869764,16020704,28684428,16637568
