,A,B,C,D,E,F,G,H,I,J,K,L,M
3.0,11362,11348,11223,12205,11520,11035,11501,11179,10728,10582,11367,11100,10691
6.0,11038,12040,11188,12409,11766,11277,11637,11486,11737,10969,10466,12171,10830
8.0,11503,11471,11216,12596,12667,11266,11808,11484,11909,11828,10672,13230,11036
