,A,AB,B,C,D,E,E & F,EF,F
11.0,19600,18325,18442,19736,20060,19826,18300,18489,19421
21.0,21095,19849,19953,20114,22833,22262,19822,20026,21006
31.0,22268,21373,21697,21410,24482,23949,21345,21564,21666
