,A,B,C,E,F,G,H
3.0,5915767,5881122,5135700,6083835,5874520,5102450,5135700
5.0,5979727,5945082,5191275,6149780,5938120,5157550,5191275
7.0,5235330,6011174,5248750,6217360,6003310,5213125,5248750
