,A,B,C,D,E,F,G,H
7.0,11132,11014,12104,11842,11579,10475,11740,11837
17.0,11253,11433,12610,12210,12180,10655,11883,12438
27.0,11425,11757,12820,12576,12568,11354,12217,12764
