,1,2,3,4,5,6,7,8,B1,B2,B6,B7
4.0,11898,11953,11953,9563,11890,11953,11953,9481,11657,11710,11340,9714
7.0,12196,12252,12252,9805,12188,12252,12252,9686,11943,11996,11591,9957
10.0,11609,12547,12547,9971,12482,12547,12547,9954,12217,12280,11842,11081
