,A,B,C,C1,D,E,F,G,H,I,J,K,L,M,M & N,N,O,P,Q,R
3.0,6200620,6890950,7035600,6978405,5169990,5515650,5515650,5515650,6108207,5638919,5001600,7848230,8329760,6487600,10707880,6758450,5872930,6189950,7421210,10416744
6.0,6357896,7071845,7222560,7161675,5301310,5655390,5655390,5655390,6262962,5782128,5128320,8054820,8553330,6657280,10993770,6935450,6021330,6323850,7620675,10695687
8.0,6462564,6655000,7399065,7288365,5389020,5749230,5749230,5749230,6366675,5877773,5213280,8197170,8705800,6774320,11197170,7057580,6119910,6412900,7755505,10893855
