,A,B,C,D,E,F,G,H,I,J
4.0,5927922,5527144,5733669,5733669,6083316,,4468596,3718233,3567573,4124880
6.0,5985672,5581019,5789991,5806083,6142566,,4512221,3602448,3602448,4154120
9.0,6072528,5661616,5873580,5873580,6231678,,4577484,3654621,3654621,4225520
