,A,AB,AD,AF,B,C,D,E,F
9.0,12692,11785,11446,11207,13786,12931,13467,12960,14945
24.0,15782,12923,14053,12274,15263,16214,15126,13967,15813
38.0,17081,13986,13579,13293,16856,,17122,17518,17386
