,A,B,C,D,E,F,G,H,J,K,L,M
6.0,13896,13590,14343,13225,14525,13420,14365,13957,13888,14127,14443,14045
15.0,15088,15045,14878,13740,14029,14080,14981,14210,14506,13765,14958,14351
22.0,15491,15671,15473,14418,13820,14901,15584,15614,15246,14366,15871,13988
