,1,2,3,4,5,6,67,7,8,A1,A2,A4,A5,A6,A7,A8
5.0,14690,14973,14725,14973,14014,14694,17230,14044,14973,14322,15034,13326,14741,14749,13814,14338
12.0,15081,15666,15666,15666,15252,15133,17968,15666,15666,15001,15733,13841,15590,15161,13589,14924
20.0,16337,16692,16692,16692,16337,15886,18862,16692,16808,16259,17017,15273,16354,15950,14235,16110
