,10,26,27,28,29,30,31,32,33,35,36,37,38,9,whole floor
21.0,19494,18967,18909,18424,18413,18666,18542,18655,18787,18034,18620,18532,18381,20092,19144
54.0,24535,23511,23804,22338,19619,20083,22795,23258,18941,22532,23257,24036,24168,24146,24146
77.0,29996,28423,29428,23880,23611,23783,23611,22691,23565,30096,26857,28746,28675,28937,28937
