,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,3,4,5,6,7,8,9,F12,F6
3.0,4953420,5085000,4996295,5015535,5188100,5192410,4428515,3361390,3496395,3361390,3361390,4035630,4500150,4130575,4526880,4678403,4902740,5050640,4790015,4512006,4526880,4035630,4035630,4035630,5034700,4871760,4871760,5015535,3863474,3880776
8.0,5031720,5280490,5158450,5208120,5388200,5363600,5997376,3465240,3579155,3465240,,4103690,4646925,4269975,4632960,4823770,5080360,5395747,4863145,4589742,4632960,4103690,4103690,4103690,5218950,5049840,5049840,5208120,3932954,3950228
12.0,6063930,3963400,3896140,5339100,3748171,5495040,3117176,3548320,3672742,3580159,,3456800,4760450,4417390,4748640,4945496,5034125,5177040,4773090,4703028,4748640,4202500,4202500,,5306665,6476116,3543555,3736730,4017102,4034812
