,EATON HSE,EATON HSE 2,EATON HSE 3,EATON HSE 7,EATON HSE 8,FULHAM HSE 2,FULHAM HSE 3,FULHAM HSE 6,FULHAM HSE 7,FULHAM HSE 8,FULHAM HSE 9,VICTORIA HSE 2,VICTORIA HSE 3,VICTORIA HSE 6,VICTORIA HSE 7,VICTORIA HSE 8,WINDSOR HSE 3,WINDSOR HSE 6,WINDSOR HSE 7,WINDSOR HSE 8
2.0,,,,12358,11589,,,,,,,9276,9352,11901,9352,9352,9604,9338,9338,9338
6.0,,,,12593,11810,,,,,,,9449,9526,12126,9526,9526,9783,9512,9512,9512
8.0,,,,12710,11920,,,,,,,9535,9613,12238,9613,9613,9873,9599,9599,12466
