,A,B,C,CD,D,E,F,G,H
6.0,16992,16515,15945,,15908,14437,16429,15938,15777
12.0,17756,17143,16733,,16777,14949,17334,16732,16548
18.0,18453,17757,16664,,17018,15507,17998,16661,16864
