,A,B,C,D,E,F,G,H
6.0,9019336,8904224,9195940,9041316,11022480,10701000,10701000,10825650
14.0,9429420,9239134,9731170,9529272,11558295,11613775,11263600,11401560
23.0,9978292,9732422,10334008,10134664,11932272,12090100,11652925,11790117
