,12,13,19,2,21,22,23,24,26,5,6,7
5.0,3824691,3824691,3863110,3854235,3836906,3854007,3824691,3824691,3863110,3897534,3931938,3931938
10.0,3880880,3880880,3919910,3911390,3893095,3921364,3880880,3880880,3919910,3954264,3990132,3990132
16.0,3936720,3936720,3976355,3969255,3949982,3967781,3936720,3936720,3976355,4008798,4047228,4047228
