,subjFloor,floorLv,unitNo,price,npsf,nfa
4.0/F低層A,4.0,低層,A,10960422,15097,726
9.0/F中層A,9.0,中層,A,12709212,16108,789
14.0/F高層A,14.0,高層,A,13164465,16685,789
4.0/F低層B,4.0,低層,B,12350405,15733,785
9.0/F中層B,9.0,中層,B,11898560,16480,722
14.0/F高層B,14.0,高層,B,10604400,17674,600
4.0/F低層C,4.0,低層,C,10984505,13993,785
9.0/F中層C,9.0,中層,C,12198115,15539,785
14.0/F高層C,14.0,高層,C,10884872,15076,722
4.0/F低層D,4.0,低層,D,9429044,15611,604
9.0/F中層D,9.0,中層,D,9726816,16104,604
14.0/F高層D,14.0,高層,D,10339272,17118,604
4.0/F低層E,4.0,低層,E,9426628,15607,604
9.0/F中層E,9.0,中層,E,9810168,16242,604
14.0/F高層E,14.0,高層,E,10120624,16756,604
4.0/F低層F,4.0,低層,F,9932400,16554,600
9.0/F中層F,9.0,中層,F,11764268,16294,722
14.0/F高層F,14.0,高層,F,10674000,17790,600
4.0/F低層G,4.0,低層,G,11248760,15580,722
9.0/F中層G,9.0,中層,G,11631420,16110,722
14.0/F高層G,14.0,高層,G,9757800,16263,600
4.0/F低層H,4.0,低層,H,12550623,15907,789
9.0/F中層H,9.0,中層,H,11365530,15655,726
14.0/F高層H,14.0,高層,H,12118392,16692,726
