,A,AB,B,C,D,E,F,G,H
6.0,32703265,,51243038,17057159,10713946,13614680,13417646,16371635,28060344
15.0,30555613,,56567623,16388344,13805625,14090830,14107958,17541370,30098952
22.0,29360887,,59824408,17744307,14269605,15254455,15944681,19235125,31162248
