,21,23,25,27,29,31,33,35,37,39,41
5.0,23985,25030,24682,25183,29907,35943,33285,21933,24837,24916,25800
12.0,25001,26811,26546,26888,32014,38315,35484,22755,26512,26523,25416
20.0,28334,28623,28557,28420,34421,41023,37993,24328,28310,27237,26829
