,A,B,C,D,E,F,G,H
4.0,5148325,5061750,5024350,5298930,5210660,5024350,5017550,4968145
9.0,5320315,5147600,5121250,5400395,5307120,5121250,5053250,5055960
14.0,5423600,5244075,5124650,5502315,5411315,5217725,5211775,5158790
