,A,B,C,D,E,F,G,H,I,I & J,J,K,L,M,N,O,P,Q,R,S
3.0,3321120,3985864,3875340,3731160,3663396,3769128,3487620,3564964,3564964,5792580,3541600,4723048,3069000,3063775,3611087,3604863,3633649,3611087,3644541,5162580
7.0,3415951,3819820,3773484,3755664,3755664,3861000,3545340,3654969,3654969,5940225,3623652,4839944,3114540,3126175,3662592,3660490,3690832,3536788,3725453,5256105
11.0,3511596,3830324,3796056,3768336,3768336,3847536,3840804,3723526,3723526,6013665,3699680,4886028,3204630,3203525,3731328,3753850,3783025,3617311,3818035,5388330
