,A,B,C,D,E,F,G,H,J
8.0,15322,16134,15182,16043,16401,15859,15685,14689,15537
18.0,14940,16699,16868,16515,16519,16578,16436,15754,14801
28.0,15526,17412,16629,16377,16847,17214,17259,16477,16466
