,A,B,C,D,E,EF,F,G,H
10.0,15178,15516,16246,17386,15645,14931,16988,17662,14408
28.0,16262,16776,16597,17970,16356,15736,15773,18173,15667
45.0,17050,17527,19232,18217,16058,16432,16051,18434,16432
