,A,B,C,D,E,F,G,H,I,J,K,L
8.0,14655,15495,13508,13703,13801,13457,13548,13266,13508,13696,15302,12950
12.0,13282,15770,13763,13795,14062,13711,13803,13785,13763,13953,15777,13193
17.0,13191,16128,14073,14320,14383,13744,14115,14116,14073,14277,16148,13145
