,A,B,C,D,E,F,G,H,J,K
13.0,7841769,7226985,7203462,9477738,6704775,9446073,6101521,7315272,12573858,7158352
26.0,8117252,7693070,7537698,9958808,7167369,9730812,6323236,7169787,13235640,7800272
37.0,7959886,8036935,7636713,10317304,7413329,9682400,6486206,7933464,13571409,8175512
