,A1,A10,A11,A12,A13,A14,A2,A4,A5,A6,A7,A8,A9
2.0,7126,8016,8028,8101,8388,8385,8016,8016,8358,8016,8382,8281,8587
4.0,7199,8097,8130,8184,8194,8471,8097,8097,8443,8097,8514,8097,8518
7.0,7301,8217,8260,8305,8314,8336,8217,8217,8528,8351,8588,8217,8648
