,A,B,C,D,E,F,G,H
12.0,7181760,8466466,7051053,7210568,7227402,8313800,8000387,6835680
29.0,7763520,8845350,7924837,7600788,7620172,9176750,8430822,8170080
48.0,8328000,9213771,8307803,8009320,7987770,9489150,8803337,8368320
