,A,AB,B,C,D,DE,E,F,F & G,G,G & H,H
5.0,750,1505,755,850,600,1345,745,,1000,,970,665
10.0,750,1505,755,850,600,1345,745,,1000,,970,665
14.0,750,1505,755,850,600,1345,855,685,1000,,970,665
