,A,B,C,D,E,F,G,H,HJ,J
8.0,4879356,5561896,5817516,5564763,5553441,5583078,5550444,6053866,14063202,8080176
18.0,5124256,5633400,6192312,5936724,5879781,5890770,5962032,6542081,15222594,8982144
26.0,5921208,6067344,6829500,6197463,6234093,6115212,6238089,6925867,16149736,10075104
