,1,2,3,4,5,6,7,8
7.0,4655300,5047900,3905308,3903790,4655300,4829500,3904296,3839528
21.0,4951050,5385900,4136550,4134020,4951050,5120700,4131490,4060650
34.0,5231850,5577650,4361214,4357166,5231850,5384600,4353118,4279242
