,subjFloor,floorLv,unitNo,price,npsf,nfa
7.0/F低層A,7.0,低層,A,4439988,7551,588
17.0/F中層A,17.0,中層,A,4605804,7833,588
28.0/F高層A,28.0,高層,A,4835712,8224,588
7.0/F低層B,7.0,低層,B,4420374,7701,574
17.0/F中層B,17.0,中層,B,4577650,7975,574
28.0/F高層B,28.0,高層,B,4775106,8319,574
7.0/F低層C,7.0,低層,C,4420374,7701,574
17.0/F中層C,17.0,中層,C,4577650,7975,574
28.0/F高層C,28.0,高層,C,4775106,8319,574
7.0/F低層D,7.0,低層,D,4512900,7675,588
17.0/F中層D,17.0,中層,D,4674012,7949,588
28.0/F高層D,28.0,高層,D,4875108,8291,588
7.0/F低層E,7.0,低層,E,3399347,8113,419
17.0/F中層E,17.0,中層,E,3512896,8384,419
28.0/F高層E,28.0,高層,E,3676306,8774,419
7.0/F低層F,7.0,低層,F,4136652,8839,468
17.0/F中層F,17.0,中層,F,4247100,9075,468
28.0/F高層F,28.0,高層,F,4380012,9359,468
7.0/F低層G,7.0,低層,G,4359360,7648,570
17.0/F中層G,17.0,中層,G,4517820,7926,570
28.0/F高層G,28.0,高層,G,4746390,8327,570
7.0/F低層H,7.0,低層,H,4281840,7512,570
17.0/F中層H,17.0,中層,H,4457400,7820,570
28.0/F高層H,28.0,高層,H,4684260,8218,570
7.0/F低層J,7.0,低層,J,4099212,8759,468
17.0/F中層J,17.0,中層,J,4210596,8997,468
28.0/F高層J,28.0,高層,J,4347252,9289,468
7.0/F低層K,7.0,低層,K,3751307,8953,419
17.0/F中層K,17.0,中層,K,3847258,9182,419
28.0/F高層K,28.0,高層,K,3303815,7885,419
