,A,B,C,D,E,F,G
14.0,9992480,11176185,10325300,9116720,6798240,6640568,7115549
24.0,10299861,10918326,10620565,9469486,7091608,6947368,7292922
34.0,10512073,11383638,11144707,9643329,7396572,7244256,7599696
