,A,B,C,D,E,F,G
5.0,4322763,4668255,4815975,5111756,3794156,3915459,3630172
8.0,4397254,4769252,4920066,5222534,3873605,3996810,3719716
10.0,4452551,4838259,4991187,5024400,4003929,4053795,3772496
